Vitamin C (mg per 100g),Vitamin B11 (mg per 100g),Sodium (mg per 100g),Calcium (mg per 100g),Carbohydrates (g per 100g),food,Iron (mg per 100g),Calories (kcal per 100g),Sugars (g per 100g),Dietary Fiber (g per 100g),Fat (g per 100g),Protein (g per 100g),preparation,micronutrient_density,clusters
0.0,0.099,0.2,213.1,0.6,parmesan cheese,0.1,71.0,0.046,0.0,4.5,6.4,other,58.72938485614543,0
0.0,0.026,0.008,53.2,0.2,romano cheese,0.03,19.0,0.088,0.0,1.3,1.6,other,56.62618083670715,0
0.007,0.015,0.043,0.012,0.7,parmesan cheese grated,0.094,21.0,0.075,0.0,1.4,1.4,other,20.385347985347988,0
0.0,0.035,0.7,858.0,0.8,port salut cheese,0.6,465.0,0.8,0.0,37.2,31.4,other,16.7921146953405,4
0.0,0.027,0.057,222.5,0.4,swiss cheese,0.024,98.0,0.0,0.0,7.7,6.7,other,24.48848770277342,0
0.0,0.035,0.076,253.3,0.6,goat cheese hard,0.5,128.0,0.6,0.0,10.1,8.6,other,24.22843215811966,0
0.0,0.042,0.2,196.0,0.6,gouda cheese,0.06,100.0,0.6,0.0,7.7,7.0,other,25.91025641025641,0
0.0,0.0,0.0,0.0,0.0,pepper jack cheese lucerne,0.0,75.0,0.0,2.5,6.0,5.0,other,0.0,0
0.0,0.066,0.2,190.5,0.9,caraway cheese,0.2,106.0,0.0,0.0,8.3,7.1,other,30.43863892920497,0
0.0,0.076,1.4,908.0,96.8,gjetost cheese,1.2,1058.0,0.0,0.0,67.0,21.9,other,9.02767679705298,2
0.0,0.072,0.3,280.0,0.8,tilsit cheese,0.01,136.0,0.0,0.0,10.4,9.8,other,29.11324786324786,0
0.0,0.011,0.1,84.3,0.009,goat cheese,0.5,103.0,0.031,0.0,8.4,6.1,other,11.66251763339142,0
0.0,0.059,0.2,202.2,0.8,brick cheese,0.1,111.0,0.2,0.0,8.9,7.0,other,27.801262801262798,0
0.0,0.005,0.7,746.9,3.2,asadero cheese,0.6,402.0,3.2,0.0,31.9,25.5,other,15.432134200790918,4
0.0,0.043,0.3,116.4,0.1,camembert cheese,0.063,90.0,0.1,0.0,7.3,5.9,other,22.28205128205128,0
0.0,0.063,1.0,854.3,4.0,provolone cheese reduced fat,0.6,310.0,0.6,0.0,19.9,27.9,other,27.354425144747722,4
0.0,0.037,1.5,562.7,1.7,roquefort cheese,0.5,314.0,0.0,0.0,26.0,18.3,other,17.615411835157058,4
0.0,0.0,0.8,814.2,3.0,queso blanco cheese,0.2,366.0,2.1,0.0,28.7,24.0,other,17.415814301060202,4
0.0,0.0,1.8,641.2,2.0,queso seco cheese,0.2,315.0,0.5,0.0,23.6,23.8,other,16.01085334418668,4
0.0,0.037,0.1,39.6,0.0,goat cheese soft,0.5,75.0,0.3,0.0,6.0,5.2,other,20.098575498575492,0
0.0,0.088,0.1,151.5,0.7,mozzarella cheese,0.1,90.0,0.0,0.0,6.6,6.7,other,38.01044634377967,0
0.0,0.031,0.8,859.3,7.3,chihuahua cheese,0.6,494.0,7.3,0.0,39.2,28.5,other,15.624156545209175,4
0.0,0.095,0.2,149.1,0.1,limburger cheese,0.011,98.0,0.1,0.0,8.2,6.0,other,36.000348857491716,0
0.0,0.009,0.8,946.4,1.5,muenster cheese,0.5,486.0,1.5,0.0,39.7,30.9,other,16.01394604481024,4
0.0,0.029,0.9,690.5,3.6,queso fresco cheese,0.2,365.0,2.8,0.0,29.1,22.1,other,16.84287554150568,4
0.0,0.025,0.2,55.2,0.1,brie cheese,0.2,100.0,0.1,0.0,8.3,6.2,other,11.607264957264956,0
3.2,0.043,2.0,859.6,2.4,pimento cheese,0.6,525.0,0.9,0.1,43.7,31.0,other,15.954660154660155,4
0.0,0.027,0.9,1283.5,3.8,mexican cheese,0.1,316.0,0.6,0.0,21.7,27.7,other,33.55579898301417,4
0.0,0.021,0.3,147.9,1.2,feta cheese,0.2,80.0,0.0,0.0,6.4,4.3,other,22.172542735042736,0
0.0,0.011,0.8,1085.9,4.0,mozzarella cheese fat free,0.4,159.0,1.7,2.0,0.0,35.8,other,55.662258775466334,4
0.0,0.017,1.2,997.9,2.8,provolone cheese,0.7,463.0,0.7,0.0,35.1,33.8,other,18.337025345664653,4
0.0,0.081,1.5,897.6,6.1,anejo cheese,0.6,492.0,6.1,0.0,39.6,28.3,other,18.827131540546173,4
0.1,0.022,0.011,1.3,17.3,honey,0.017,64.0,17.2,0.025,0.0,0.08,other,9.071180555555552,0
0.1,0.02,0.003,2.8,8.5,apple butter,0.025,35.0,7.1,0.3,0.063,0.045,other,15.615384615384617,0
1.8,0.076,0.052,4.0,13.8,fruit jam,0.07,56.0,9.7,0.2,0.095,0.0,other,38.74389499389498,0
0.0,0.02,0.099,20.0,11.5,chocolate hazelnut spread,0.8,100.0,10.0,1.0,5.5,1.0,other,10.982905982905983,0
0.078,0.081,0.085,0.0,3.6,peanut butter,0.079,88.0,1.0,0.9,7.4,3.3,other,23.608585858585858,0
0.0,0.079,0.028,11.2,2.2,peanut spread,0.4,101.0,0.5,1.2,8.5,3.8,other,22.607683845307605,0
